"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'pe:Person rdf:type owl:Class ; ')","[17613, 49046]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:range xsd:dateTime ;')","[13687, 14077, 27129, 28533, 28663, 44969, 45374, 58928, 60386, 60521]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:Complete rdf:type po:ResultStatus ;')","[32719, 64733]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  ] ; ')","[12127, 12465, 22579, 22891, 23151, 23463, 24399, 24607, 24841, 26037, 26349, 26661, 43349, 43700, 54203, 54527, 54797, 55121, 56093, 56309, 56552, 57794, 58118, 58442]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment """"""The class of individuals that serve as both GradebookItemVitality and ResultVitality values.')","[25179, 56903]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'test(org.semantictools.jsonld.impl.EnhancedContextIoTest)')","[440, 824]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""This is a reference to the pedagogical material from which the learner may acquire the knowledge or skills needed to complete the assignment."" .')","[28949, 60818]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '@prefix pm: <http://purl.org/pearson/core/v1/vocab/message#> .')","[11321, 21513, 42512, 53096]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'pm:MessageHeader rdf:type owl:Class;')","[11685, 42890]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '<OL>')","[25387, 57119]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', ' The instances of ResultReason are extensible.  Each learning application is expected to define its own vocabulary.  A ResultReason object consists of a URI which serves as a unique identifier and a human-friendly label."""""" .')","[24659, 56363]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:range po:ResultValueSpec ;')","[28195, 29183, 60035, 61061]"
